population	years_start	years							
1	-50	1							
37	-49	2							
25	-48	3							
13	-47	4							
1	-46	5							
1	-45	6							
9	-44	7							
41	-43	8							
1	-42	9							
33	-41	10							
26	-40	11							
37	-39	12							
9	-38	13							
1	-37	14							
27	-36	15							
1	-35	16							
1	-34	17							
7	-33	18							
31	-32	19							
1	-31	20							
1	-30	21							
33	-29	22							
20	-28	23							
1	-27	24							
4	-26	25							
64	-25	26							
42	-24	27							
55	-23	28							
62	-22	29							
1	-21	30							
103	-20	31							
93	-19	32							
12	-18	33							
90	-17	34							
128	-16	35							
66	-15	36							
121	-14	37							
154	-13	38							
197	-12	39							
226	-11	40							
200	-10	41							
191	-9	42							
220	-8	43							
175	-7	44							
249	-6	45							
251	-5	46							
296	-4	47							
337	-3	48							
305	-2	49							
313	-1	50							
357	0	51							
448	1	52							
399	2	53							
404	3	54							
452	4	55							
484	5	56							
542	6	57							
537	7	58							
526	8	59							
534	9	60							
521	10	61							
497	11	62							
615	12	63							
597	13	64							
571	14	65							
622	15	66							
629	16	67							
680	17	68							
636	18	69							
685	19	70							
700	20	71							
702	21	72							
698	22	73							
773	23	74							
776	24	75							
674	25	76							
735	26	77							
774	27	78							
774	28	79							
767	29	80							
764	30	81							
787	31	82							
857	32	83							
835	33	84							
849	34	85							
876	35	86							
841	36	87							
850	37	88							
917	38	89							
834	39	90							
861	40	91							
862	41	92							
925	42	93							
882	43	94							
843	44	95							
914	45	96							
882	46	97							
906	47	98							
888	48	99							
942	49	100							
889	50	101							
942	51	102							
954	52	103							
905	53	104							
939	54	105							
997	55	106							
978	56	107							
945	57	108							
950	58	109							
911	59	110							
910	60	111							
963	61	112							
989	62	113							
985	63	114							
981	64	115							
950	65	116							
999	66	117							
988	67	118							
975	68	119							
946	69	120							
937	70	121							
967	71	122							
1016	72	123							
1005	73	124							
896	74	125							
1037	75	126							
1037	76	127							
944	77	128							
1035	78	129							
941	79	130							
1009	80	131							
935	81	132							
952	82	133							
949	83	134							
946	84	135							
999	85	136							
926	86	137							
1009	87	138							
1022	88	139							
1018	89	140							
1010	90	141							
950	91	142							
978	92	143							
992	93	144							
970	94	145							
978	95	146							
987	96	147							
977	97	148							
971	98	149							
982	99	150							
989	100	151							
